zip,lat,lng,city,state_id,state_name,population
84015,41.12073,-112.06129,Clearfield,UT,Utah,68865
84017,40.9549,-111.20582,Coalville,UT,Utah,5089
84018,41.20535,-111.42716,Croydon,UT,Utah,287
84020,40.49885,-111.8635,Draper,UT,Utah,49978
84021,40.10998,-110.51593,Duchesne,UT,Utah,3591
84022,40.17921,-112.81371,Dugway,UT,Utah,536
84023,40.83781,-109.20665,Dutch John,UT,Utah,121
84024,41.00765,-111.44721,Echo,UT,Utah,52
84025,40.97667,-111.89874,Farmington,UT,Utah,24093
84026,40.29122,-109.83882,Fort Duchesne,UT,Utah,825
84027,40.15643,-110.79453,Fruitland,UT,Utah,690
84028,41.93107,-111.38267,Garden City,UT,Utah,473
84029,40.6483,-112.98298,Grantsville,UT,Utah,12733
84031,40.60493,-110.63735,Hanna,UT,Utah,153
84032,40.35839,-111.188,Heber City,UT,Utah,24238
84033,40.98002,-111.49148,Henefer,UT,Utah,1073
84034,39.99427,-113.9575,Ibapah,UT,Utah,144
84035,40.39024,-109.28208,Jensen,UT,Utah,476
84036,40.66022,-111.1093,Kamas,UT,Utah,8317
84037,40.99281,-111.91444,Kaysville,UT,Utah,39257
84038,41.87926,-111.29692,Laketown,UT,Utah,587
84039,40.44602,-109.80972,Lapoint,UT,Utah,507
84040,41.09121,-111.89674,Layton,UT,Utah,26384
84041,41.07137,-111.98416,Layton,UT,Utah,54953
84042,40.34113,-111.72466,Lindon,UT,Utah,11346
84043,40.41209,-111.87377,Lehi,UT,Utah,74101
84044,40.73,-112.1474,Magna,UT,Utah,29128
84045,40.28574,-111.91384,Saratoga Springs,UT,Utah,36720
84046,40.95339,-109.82786,Manila,UT,Utah,420
84047,40.61533,-111.89176,Midvale,UT,Utah,36275
84049,40.5136,-111.51657,Midway,UT,Utah,6490
84050,41.02244,-111.67229,Morgan,UT,Utah,11875
84051,40.39552,-110.43131,Mountain Home,UT,Utah,528
84052,40.16829,-109.99089,Myton,UT,Utah,1267
84053,40.43325,-109.98941,Neola,UT,Utah,695
84054,40.84078,-111.91754,North Salt Lake,UT,Utah,21443
84055,40.71889,-111.16106,Oakley,UT,Utah,1571
84056,41.12679,-111.99084,Hill Afb,UT,Utah,3566
84057,40.31427,-111.70948,Orem,UT,Utah,38600
84058,40.27474,-111.71468,Orem,UT,Utah,33714
84059,40.30353,-111.74853,Vineyard,UT,Utah,13921
84060,40.6418,-111.50332,Park City,UT,Utah,8757
84061,40.74721,-111.3417,Peoa,UT,Utah,359
84062,40.38586,-111.68421,Pleasant Grove,UT,Utah,47203
84063,40.21007,-109.69285,Randlett,UT,Utah,234
84064,41.67086,-111.12293,Randolph,UT,Utah,976
84065,40.495,-111.9444,Riverton,UT,Utah,49075
84066,40.34671,-110.05171,Roosevelt,UT,Utah,13441
84067,41.17189,-112.04803,Roy,UT,Utah,39076
84069,40.36521,-112.48548,Rush Valley,UT,Utah,507
84070,40.57707,-111.88916,Sandy,UT,Utah,30091
84071,40.4191,-112.32475,Stockton,UT,Utah,2168
84072,40.3641,-110.633,Tabiona,UT,Utah,394
84073,40.3456,-110.41394,Talmage,UT,Utah,316
84074,40.57379,-112.29914,Tooele,UT,Utah,53932
84075,41.05975,-112.06933,Syracuse,UT,Utah,31552
84076,40.44718,-109.84017,Tridell,UT,Utah,464
84078,40.46403,-109.5084,Vernal,UT,Utah,29877
84080,40.02168,-112.44818,Vernon,UT,Utah,244
84081,40.60275,-112.03821,West Jordan,UT,Utah,50596
84082,40.3404,-111.36184,Wallsburg,UT,Utah,849
