ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
NewH23272,3.0,1.0,2.0,Cornish,New Hampshire,3745.0,2362.0,359000.0,0,43.47407,-72.32001
NewH23273,2.0,1.0,0.34,Claremont,New Hampshire,3743.0,1360.0,99900.0,0,43.36026,-72.32489
NewH23274,3.0,2.0,0.33,Claremont,New Hampshire,3743.0,2112.0,265000.0,1,43.36026,-72.32489
NewH23275,6.0,3.0,0.36,Claremont,New Hampshire,3743.0,2747.0,210000.0,0,43.36026,-72.32489
NewH23276,7.0,4.0,2.0,Claremont,New Hampshire,3743.0,3053.0,279950.0,0,43.36026,-72.32489
NewH23277,3.0,1.0,1.59,Claremont,New Hampshire,3743.0,1911.0,249900.0,0,43.36026,-72.32489
NewH23278,3.0,1.0,0.16,Claremont,New Hampshire,3743.0,2102.0,205000.0,1,43.36026,-72.32489
NewH23279,1.0,1.0,0.04,Claremont,New Hampshire,3743.0,1550.0,220000.0,1,43.36026,-72.32489
NewH23280,3.0,2.0,14.3,Claremont,New Hampshire,3743.0,1176.0,375000.0,0,43.36026,-72.32489
NewH23281,3.0,3.0,1.8,Keene,New Hampshire,3431.0,2175.0,479000.0,0,42.96785,-72.29862
NewH23282,7.0,4.0,0.64,Claremont,New Hampshire,3743.0,4469.0,299000.0,0,43.36026,-72.32489
NewH23283,3.0,2.0,0.26,Claremont,New Hampshire,3743.0,1117.0,205000.0,1,43.36026,-72.32489
NewH23284,3.0,2.0,0.17,Claremont,New Hampshire,3743.0,1293.0,250000.0,0,43.36026,-72.32489
NewH23285,1.0,5.0,0.17,Claremont,New Hampshire,3743.0,3203.0,365000.0,0,43.36026,-72.32489
NewH23286,4.0,4.0,1.01,Cornish,New Hampshire,3745.0,3363.0,469000.0,0,43.47407,-72.32001
NewH23287,3.0,1.0,0.29,Cornish,New Hampshire,3745.0,1892.0,139000.0,0,43.47407,-72.32001
NewH23288,1.0,3.0,1.7,Charlestown,New Hampshire,3603.0,3436.0,475000.0,0,43.25339,-72.38059
NewH23289,1.0,1.0,6.4,Acworth,New Hampshire,3601.0,372.0,89900.0,0,43.23933,-72.29855
NewH23290,5.0,3.0,2.7,Charlestown,New Hampshire,3603.0,3120.0,185000.0,0,43.25339,-72.38059
NewH23291,5.0,1.0,0.68,Chesterfield,New Hampshire,3462.0,2300.0,199900.0,0,42.8949,-72.40507
NewH23292,3.0,1.0,0.22,Hinsdale,New Hampshire,3451.0,5588.0,375000.0,0,42.80907,-72.50029
NewH23293,3.0,2.0,1.2,Alstead,New Hampshire,3602.0,2185.0,75000.0,0,43.13751,-72.32938
NewH23294,3.0,2.0,4.44,Acworth,New Hampshire,3601.0,1394.0,299000.0,0,43.23933,-72.29855
NewH23295,3.0,2.0,0.3,Claremont,New Hampshire,3743.0,1330.0,169900.0,0,43.36026,-72.32489
NewH23296,4.0,3.0,0.99,Charlestown,New Hampshire,3603.0,2869.0,425000.0,0,43.25339,-72.38059
NewH23297,4.0,2.0,6.4,Alstead,New Hampshire,3602.0,2664.0,539000.0,0,43.13751,-72.32938
NewH23298,4.0,2.0,1.0,Surry,New Hampshire,3431.0,1774.0,219900.0,1,42.96785,-72.29862
NewH23299,5.0,2.0,0.18,Claremont,New Hampshire,3743.0,2068.0,119000.0,0,43.36026,-72.32489
NewH23300,12.0,8.0,0.95,Walpole,New Hampshire,3608.0,8608.0,795000.0,1,43.07128,-72.40604
NewH23301,4.0,4.0,1.38,Chesterfield,New Hampshire,3462.0,3585.0,1921000.0,0,42.8949,-72.40507
NewH23302,3.0,1.0,0.77,Winchester,New Hampshire,3470.0,1767.0,147700.0,0,42.77869,-72.34413
NewH23303,3.0,2.0,0.99,Claremont,New Hampshire,3743.0,1716.0,259000.0,0,43.36026,-72.32489
NewH23304,6.0,3.0,0.48,Claremont,New Hampshire,3743.0,3136.0,215000.0,0,43.36026,-72.32489
NewH23305,5.0,2.0,0.29,Claremont,New Hampshire,3743.0,1736.0,150000.0,1,43.36026,-72.32489
NewH23306,5.0,3.0,0.49,Claremont,New Hampshire,3743.0,2840.0,210000.0,0,43.36026,-72.32489
NewH23307,4.0,1.0,1.47,Charlestown,New Hampshire,3603.0,1566.0,199000.0,0,43.25339,-72.38059
NewH23308,4.0,2.0,0.44,Charlestown,New Hampshire,3603.0,2034.0,299000.0,0,43.25339,-72.38059
NewH23309,1.0,5.0,0.17,Claremont,New Hampshire,3743.0,3203.0,365000.0,0,43.36026,-72.32489
NewH23310,3.0,2.0,2.75,Keene,New Hampshire,3431.0,2276.0,449000.0,1,42.96785,-72.29862
NewH23311,3.0,2.0,0.37,Keene,New Hampshire,3431.0,1444.0,339900.0,1,42.96785,-72.29862
NewH23312,3.0,1.0,0.89,Keene,New Hampshire,3431.0,1040.0,235000.0,0,42.96785,-72.29862
NewH23313,3.0,3.0,1.22,Alstead,New Hampshire,3602.0,4325.0,1200000.0,1,43.13751,-72.32938
NewH23314,7.0,4.0,0.64,Claremont,New Hampshire,3743.0,4469.0,299000.0,0,43.36026,-72.32489
NewH23315,3.0,2.0,3.12,Chesterfield,New Hampshire,3466.0,3449.0,465000.0,1,42.89525,-72.50964
NewH23316,2.0,1.0,0.36,Hinsdale,New Hampshire,3451.0,936.0,178500.0,0,42.80907,-72.50029
NewH23317,3.0,2.0,0.26,Claremont,New Hampshire,3743.0,1117.0,205000.0,1,43.36026,-72.32489
NewH23318,3.0,2.0,0.17,Claremont,New Hampshire,3743.0,1293.0,250000.0,0,43.36026,-72.32489
NewH23319,3.0,1.0,0.16,Claremont,New Hampshire,3743.0,2102.0,205000.0,1,43.36026,-72.32489
NewH23320,6.0,2.0,1.03,Swanzey,New Hampshire,3446.0,1716.0,269000.0,0,42.86163,-72.29639
NewH23321,3.0,1.0,2.0,Cornish,New Hampshire,3745.0,2362.0,359000.0,0,43.47407,-72.32001
NewH23322,2.0,1.0,0.34,Claremont,New Hampshire,3743.0,1360.0,99900.0,0,43.36026,-72.32489
NewH23323,3.0,1.0,2.7,Acworth,New Hampshire,3607.0,1050.0,279000.0,0,43.19698,-72.26084
NewH23324,3.0,2.0,0.33,Claremont,New Hampshire,3743.0,2112.0,265000.0,1,43.36026,-72.32489
NewH23325,3.0,2.0,0.06,Hinsdale,New Hampshire,3451.0,1240.0,149900.0,0,42.80907,-72.50029
NewH23326,6.0,3.0,0.36,Claremont,New Hampshire,3743.0,2747.0,210000.0,0,43.36026,-72.32489
NewH23327,3.0,2.0,2.38,Winchester,New Hampshire,3470.0,1192.0,279900.0,0,42.77869,-72.34413
NewH23328,7.0,4.0,2.0,Claremont,New Hampshire,3743.0,3053.0,279950.0,0,43.36026,-72.32489
NewH23329,3.0,1.0,1.59,Claremont,New Hampshire,3743.0,1911.0,249900.0,0,43.36026,-72.32489
NewH23330,4.0,2.0,0.35,Keene,New Hampshire,3431.0,1854.0,297000.0,0,42.96785,-72.29862
NewH23331,3.0,2.0,0.6,Keene,New Hampshire,3431.0,1646.0,289900.0,0,42.96785,-72.29862
NewH23332,3.0,1.0,0.23,Walpole,New Hampshire,3608.0,1224.0,249900.0,1,43.07128,-72.40604
NewH23333,6.0,3.0,0.16,Charlestown,New Hampshire,3603.0,3000.0,235000.0,0,43.25339,-72.38059
NewH23334,3.0,1.0,0.11,Chesterfield,New Hampshire,3443.0,1116.0,749000.0,0,42.8767,-72.46148
NewH23335,4.0,2.0,1.6,Winchester,New Hampshire,3470.0,1864.0,135000.0,0,42.77869,-72.34413
NewH23336,3.0,2.0,0.38,Claremont,New Hampshire,3743.0,1975.0,250000.0,1,43.36026,-72.32489
NewH23337,4.0,5.0,1.31,Chesterfield,New Hampshire,3462.0,4726.0,699000.0,1,42.8949,-72.40507
NewH23338,6.0,3.0,0.53,Walpole,New Hampshire,3608.0,3828.0,415000.0,0,43.07128,-72.40604
NewH23339,4.0,2.0,0.34,Claremont,New Hampshire,3743.0,2616.0,179000.0,0,43.36026,-72.32489
NewH23340,2.0,1.0,0.3,Keene,New Hampshire,3431.0,1370.0,239900.0,1,42.96785,-72.29862
NewH23341,2.0,1.0,0.12,Claremont,New Hampshire,3743.0,768.0,139900.0,0,43.36026,-72.32489
NewH23342,8.0,3.0,0.53,Walpole,New Hampshire,3608.0,3828.0,415000.0,0,43.07128,-72.40604
NewH23343,1.0,3.0,1.2,Charlestown,New Hampshire,3603.0,1432.0,325000.0,0,43.25339,-72.38059
NewH23344,6.0,3.0,1.31,Hinsdale,New Hampshire,3451.0,2721.0,250000.0,0,42.80907,-72.50029
NewH23345,3.0,2.0,0.35,Keene,New Hampshire,3431.0,1710.0,225000.0,0,42.96785,-72.29862
NewH23346,1.0,1.0,0.04,Claremont,New Hampshire,3743.0,1550.0,220000.0,1,43.36026,-72.32489
NewH23347,4.0,5.0,8.04,Walpole,New Hampshire,3608.0,5620.0,1150000.0,1,43.07128,-72.40604
NewH23348,3.0,2.0,1.61,Winchester,New Hampshire,3470.0,2077.0,365000.0,0,42.77869,-72.34413
NewH23349,3.0,2.0,14.3,Claremont,New Hampshire,3743.0,1176.0,375000.0,0,43.36026,-72.32489
NewH23350,6.0,3.0,1.75,Alstead,New Hampshire,3602.0,2766.0,549000.0,0,43.13751,-72.32938
NewH23351,4.0,4.0,0.11,Alstead,New Hampshire,3602.0,3607.0,699000.0,0,43.13751,-72.32938
NewH23352,2.0,1.0,0.75,Winchester,New Hampshire,3470.0,738.0,79900.0,0,42.77869,-72.34413
NewH23353,2.0,1.0,1.3,Charlestown,New Hampshire,3603.0,1689.0,165000.0,0,43.25339,-72.38059
NewH23354,2.0,1.0,0.37,Claremont,New Hampshire,3743.0,1250.0,149000.0,0,43.36026,-72.32489
NewH23355,4.0,4.0,3.8,Chesterfield,New Hampshire,3443.0,3947.0,634900.0,0,42.8767,-72.46148
NewH23356,3.0,1.0,0.12,Hinsdale,New Hampshire,3451.0,1548.0,199000.0,1,42.80907,-72.50029
NewH23357,5.0,4.0,0.86,Claremont,New Hampshire,3743.0,3134.0,379900.0,1,43.36026,-72.32489
