ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
NewY2087,3.0,3.0,0.1,Westport,New York,12993.0,1858.0,275000.0,1,44.19711,-73.48097
NewY2088,5.0,4.0,0.16,Hague,New York,12836.0,4000.0,850000.0,1,43.74994,-73.56816
NewY2089,4.0,2.0,0.3,Ticonderoga,New York,12883.0,1837.0,75000.0,1,43.85291,-73.50786
NewY2090,4.0,2.0,0.3,Port Henry,New York,12974.0,1596.0,130000.0,1,44.05582,-73.46931
NewY2091,3.0,1.0,0.4,Ticonderoga,New York,12883.0,1584.0,20000.0,1,43.85291,-73.50786
NewY2092,1.0,1.0,0.7,Port Henry,New York,12974.0,300.0,85000.0,1,44.05582,-73.46931
NewY2093,2.0,2.0,0.8,Port Henry,New York,12974.0,1304.0,169900.0,1,44.05582,-73.46931
NewY2094,4.0,2.0,0.22,Moriah,New York,12974.0,1944.0,119900.0,1,44.05582,-73.46931
NewY2095,3.0,2.0,0.3,Ticonderoga,New York,12883.0,1620.0,169900.0,1,43.85291,-73.50786
NewY2096,4.0,2.0,1.59,Moriah,New York,12956.0,2235.0,205000.0,1,44.09301,-73.49628
NewY2097,3.0,2.0,0.4,Moriah,New York,12960.0,1550.0,99000.0,0,44.02226,-73.54123
NewY2098,3.0,3.0,2.8,Moriah,New York,12960.0,2000.0,375000.0,0,44.02226,-73.54123
NewY2099,3.0,2.0,0.3,Crown Point,New York,12928.0,1040.0,135000.0,1,43.9539,-73.52898
NewY2100,5.0,2.0,1.32,Elizabethtown,New York,12932.0,1838.0,200000.0,0,44.21222,-73.6082
NewY2101,5.0,5.0,0.4,Crown Point,New York,12928.0,2148.0,219000.0,0,43.9539,-73.52898
NewY2102,4.0,2.0,0.4,Ticonderoga,New York,12883.0,2030.0,152900.0,1,43.85291,-73.50786
NewY2103,3.0,2.0,11.6,Westport,New York,12993.0,1664.0,299000.0,1,44.19711,-73.48097
NewY2104,2.0,1.0,0.67,Ticonderoga,New York,12883.0,1170.0,200000.0,1,43.85291,-73.50786
NewY2105,3.0,2.0,0.62,Ticonderoga,New York,12883.0,1600.0,925000.0,0,43.85291,-73.50786
NewY2106,4.0,2.0,2.0,Moriah,New York,12960.0,2720.0,349000.0,0,44.02226,-73.54123
NewY2107,4.0,2.0,7.0,Crown Point,New York,12928.0,2600.0,305000.0,1,43.9539,-73.52898
NewY2108,3.0,1.0,1.2,Moriah,New York,12960.0,1116.0,125000.0,1,44.02226,-73.54123
NewY2109,3.0,2.0,0.2,Mineville,New York,12956.0,1574.0,134900.0,0,44.09301,-73.49628
NewY2110,3.0,1.0,0.4,Ticonderoga,New York,12883.0,1776.0,59900.0,1,43.85291,-73.50786
NewY2111,2.0,1.0,0.9,Port Henry,New York,12974.0,999.0,94900.0,0,44.05582,-73.46931
NewY2112,5.0,3.0,0.2,Ticonderoga,New York,12883.0,2088.0,239000.0,1,43.85291,-73.50786
NewY2113,2.0,1.0,0.83,Crown Point,New York,12928.0,650.0,279000.0,0,43.9539,-73.52898
NewY2114,4.0,2.0,0.5,Ticonderoga,New York,12883.0,2761.0,329900.0,1,43.85291,-73.50786
NewY2115,3.0,2.0,12.23,Westport,New York,12993.0,2051.0,325000.0,1,44.19711,-73.48097
