status,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously
for_sale,5.0,7.0,1.4,Saint John,Virgin Islands,830.0,8800.0,3985000.0,0
for_sale,4.0,3.0,0.6,Saint Thomas,Virgin Islands,802.0,2413.0,1150000.0,0
for_sale,3.0,4.0,0.7,Saint Thomas,Virgin Islands,802.0,3500.0,1850000.0,0
for_sale,4.0,6.0,0.83,Saint Thomas,Virgin Islands,802.0,4600.0,6899000.0,1
for_sale,5.0,6.0,1.07,Saint Thomas,Virgin Islands,802.0,7229.0,2750000.0,0
for_sale,4.0,5.0,0.46,Saint John,Virgin Islands,830.0,7100.0,3690000.0,0
for_sale,,,1.66,Saint Thomas,Virgin Islands,802.0,,375000.0,0
for_sale,,,0.14,Saint Thomas,Virgin Islands,802.0,,300000.0,0
for_sale,,,3.14,Saint Thomas,Virgin Islands,802.0,,385000.0,0
for_sale,,,1.5,Saint Thomas,Virgin Islands,802.0,,340000.0,0
for_sale,,,6.17,Saint Thomas,Virgin Islands,802.0,,890000.0,0
for_sale,,,3.77,Saint Thomas,Virgin Islands,802.0,,825000.0,0
for_sale,9.0,5.0,0.04,Saint Thomas,Virgin Islands,802.0,3120.0,100000.0,0
for_sale,5.0,2.0,0.21,Saint Thomas,Virgin Islands,802.0,1140.0,175000.0,0
for_sale,2.0,2.0,,Saint Thomas,Virgin Islands,802.0,1250.0,200000.0,0
for_sale,4.0,6.0,1.04,Saint Thomas,Virgin Islands,802.0,6760.0,1599000.0,0
for_sale,8.0,7.0,0.42,Saint Thomas,Virgin Islands,802.0,,1995000.0,0
for_sale,,,0.34,Saint Thomas,Virgin Islands,802.0,,115000.0,0
for_sale,6.0,5.0,1.45,Saint Thomas,Virgin Islands,802.0,,2497000.0,0
for_sale,7.0,8.0,4.2,Saint Thomas,Virgin Islands,802.0,,6950000.0,0
for_sale,2.0,2.0,,Saint Thomas,Virgin Islands,802.0,1152.0,265000.0,0
for_sale,,,0.28,Saint Thomas,Virgin Islands,802.0,,85000.0,0
for_sale,4.0,5.0,0.96,Saint Thomas,Virgin Islands,802.0,2000.0,875000.0,0
for_sale,2.0,2.0,0.5,Saint Thomas,Virgin Islands,802.0,,326900.0,0
for_sale,1.0,1.0,0.26,Saint Thomas,Virgin Islands,802.0,,320000.0,0
for_sale,6.0,5.0,0.88,Saint Thomas,Virgin Islands,802.0,6290.0,1999950.0,0
for_sale,,,1.42,Saint Thomas,Virgin Islands,802.0,,200000.0,0
for_sale,6.0,6.0,0.74,Saint Thomas,Virgin Islands,802.0,3360.0,1295000.0,0
for_sale,2.0,1.0,,Saint Thomas,Virgin Islands,802.0,900.0,280000.0,0
for_sale,4.0,4.0,0.64,Saint Thomas,Virgin Islands,802.0,,1427000.0,0
for_sale,,,0.26,Saint Thomas,Virgin Islands,802.0,,95000.0,0
for_sale,,,0.13,Saint Thomas,Virgin Islands,802.0,,50000.0,0
for_sale,6.0,8.0,1.0,Saint Thomas,Virgin Islands,802.0,7000.0,3200000.0,0
for_sale,,,,Saint Thomas,Virgin Islands,802.0,,100000.0,0
for_sale,,,0.7,Saint Thomas,Virgin Islands,802.0,,139500.0,0
for_sale,5.0,6.0,1.07,Saint Thomas,Virgin Islands,802.0,7229.0,2750000.0,0
for_sale,3.0,3.0,0.37,Saint Thomas,Virgin Islands,802.0,,499000.0,0
for_sale,4.0,6.0,0.83,Saint Thomas,Virgin Islands,802.0,4600.0,6899000.0,1
for_sale,,,1.66,Saint Thomas,Virgin Islands,802.0,,375000.0,0
for_sale,3.0,4.0,0.7,Saint Thomas,Virgin Islands,802.0,3500.0,1850000.0,0
for_sale,,,0.14,Saint Thomas,Virgin Islands,802.0,,300000.0,0
for_sale,,,3.14,Saint Thomas,Virgin Islands,802.0,,385000.0,0
for_sale,1.0,1.0,,Saint Thomas,Virgin Islands,802.0,750.0,315000.0,0
for_sale,2.0,1.0,,Saint Thomas,Virgin Islands,802.0,1326.0,485000.0,0
for_sale,,,1.5,Saint Thomas,Virgin Islands,802.0,,340000.0,0
for_sale,3.0,3.0,,Saint Thomas,Virgin Islands,802.0,1750.0,549000.0,0
for_sale,4.0,3.0,0.6,Saint Thomas,Virgin Islands,802.0,2413.0,1150000.0,0
